Sample #,Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,Corresponding Table,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
20,SE13_5,Wet Center,7/15/25,1:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 5,41.30,547.30,506.00,,Yes,2169,-42.911499,-7.074621,-3.299479,10/7/25,MillRiver_PFAS_10092025,0.003 bdl,1.26,0.066 bdl,0.149 bdl,1.206,0.824 bdl,0.015 bdl,0.006 bdl,0.018 bdl,0.101 bdl,0.097 bdl,0.190 bdl,0.283 bdl,0.053 bdl,0.181 bdl,0.108 bdl,0.283 bdl,4.085,1.918,0.292,0.126 bdl,0.015 bdl,0.051 bdl,0.016 bdl,1.906,0.104 bdl,4.637,1.339,0.017 bdl,0.055 bdl,1.141,0.041 bdl,4.558,3.291,0.468,4.299,0.168 bdl,0.032 bdl,0.069 bdl,0.120 bdl
21,SE13_7,Wet Center,7/15/25,5:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 7,42.40,542.60,500.20,,Yes,2171,-45.557732,-7.494344,-3.575635,10/7/25,MillRiver_PFAS_10092025,0.012 bdl,0.992,0.062 bdl,0.172 bdl,1.366,0.493 bdl,0.012 bdl,0.018 bdl,0.011 bdl,0.131 bdl,0.196 bdl,0.206,0.354 bdl,0.036 bdl,0.266,0.165,0.342 bdl,3.154,1.638,0.191 bdl,0.066 bdl,0.024 bdl,0.020 bdl,0.000 bdl,1.951,0.062 bdl,4.141,1.037,0.023 bdl,0.059 bdl,1.059,0.036 bdl,3.547,2.302,0.597,3.296,0.144 bdl,0.046 bdl,0.105 bdl,0.100 bdl
22,SE13_9,Wet Center,7/15/25,9:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 9,42.30,448.11,405.81,"Yes, subsampled 100 Ml from PFAS sample",Yes,2173,-47.581898,-7.784226,-3.713219,05/04/26,RV_PFAS_08102026_conc,0.01 bdl,0.00 bdl,0.00 bdl,0.25 bdl,0.24 bdl,0.17 bdl,0.01 bdl,0.01 bdl,0.00 bdl,0.12 bdl,0.45 bdl,0.18 bdl,0.54 bdl,0.05 bdl,0.45 bdl,0.44 bdl,0.51 bdl,0.20 bdl,1.02,0.20 bdl,0.03 bdl,0.00 bdl,0.01 bdl,0.01 bdl,1.71,0.15 bdl,3.46,1.02 bdl,0.01 bdl,0.01 bdl,0.68 bdl,0.02 bdl,3.09,1.82,0.26 bdl,3.01,0.07 bdl,0.04 bdl,0.04 bdl,0.03 bdl
23,SE13_11,Wet Center,7/15/25,1:00:00 PM,RV,Stream,Stream_Storm,Storm #13. Sample 11,41.50,426.57,385.07,"Yes, subsampled 100 Ml from PFAS sample",Yes,2175,-48.567641,-8.005837,-3.86852,05/04/26,RV_PFAS_08102026_conc,0.00 bdl,0.12 bdl,0.00 bdl,0.27 bdl,0.26 bdl,0.11 bdl,0.02 bdl,0.00 bdl,0.00 bdl,0.09 bdl,0.30 bdl,0.13 bdl,0.37 bdl,0.05 bdl,0.29 bdl,0.30 bdl,0.33 bdl,2.64 bdl,0.91 bdl,0.14 bdl,0.03 bdl,0.00 bdl,0.01 bdl,0.00 bdl,1.52,0.04 bdl,3.13,0.69 bdl,0.01 bdl,0.02 bdl,0.68 bdl,0.01 bdl,2.76,1.58,0.22 bdl,2.58,0.09 bdl,0.05 bdl,0.03 bdl,0.07 bdl
24,SE13_13,Wet Center,7/15/25,5:00:00 PM,RV,Stream,Stream_Storm,Storm #13. Sample 13,42.30,434.99,392.69,"Yes, subsampled 100 Ml from PFAS sample",Yes,2177,-49.652887,-8.183519,-4.017609,05/04/26,RV_PFAS_08102026_conc,0.00 bdl,0.24 bdl,0.00 bdl,0.77 bdl,0.30 bdl,0.06 bdl,0.00 bdl,0.00 bdl,0.00 bdl,0.05 bdl,0.36 bdl,0.14 bdl,0.42 bdl,0.07 bdl,0.40 bdl,0.41 bdl,0.38 bdl,2.49 bdl,1.19,0.13 bdl,0.06 bdl,0.00 bdl,0.01 bdl,0.01 bdl,1.67,0.05 bdl,3.44,0.90 bdl,0.00 bdl,0.01 bdl,0.56 bdl,0.00 bdl,2.93,1.75,0.21 bdl,2.72,0.11 bdl,0.02 bdl,0.02 bdl,0.03 bdl
25,SE13_15,Wet Center,7/15/25,9:00:00 PM,RV,Stream,Stream_Storm,Storm #13. Sample 15,41.60,432.45,390.85,"Yes, subsampled 100 Ml from PFAS sample",Yes,2179,-49.732722,-8.26163,-4.003073,05/04/26,RV_PFAS_08102026_conc,0.00 bdl,0.07 bdl,0.00 bdl,0.17 bdl,0.18 bdl,0.06 bdl,0.00 bdl,0.01 bdl,0.01 bdl,0.10 bdl,0.28 bdl,0.26 bdl,0.46 bdl,0.06 bdl,0.40 bdl,0.35 bdl,0.43 bdl,2.43 bdl,0.94,0.22 bdl,0.06 bdl,0.01 bdl,0.01 bdl,0.00 bdl,1.56,0.06 bdl,3.36,0.89 bdl,0.01 bdl,0.01 bdl,0.52 bdl,0.00 bdl,2.85,1.75,0.25 bdl,2.99,0.09 bdl,0.04 bdl,0.03 bdl,0.07 bdl
26,SE13_17,Wet Center,7/16/25,1:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 17,41.50,435.49,393.99,"Yes, subsampled 100 Ml from PFAS sample",Yes,2181,-49.635801,-8.321926,-3.892706,05/04/26,RV_PFAS_08102026_conc,0.00 bdl,0.22 bdl,0.00 bdl,0.47 bdl,0.29 bdl,0.17 bdl,0.03 bdl,0.01 bdl,0.00 bdl,0.07 bdl,0.30 bdl,0.25 bdl,0.42 bdl,0.04 bdl,0.36 bdl,0.42 bdl,0.40 bdl,2.46 bdl,1.2,0.12 bdl,0.03 bdl,0.01 bdl,0.06 bdl,0.01 bdl,1.94,0.08 bdl,3.39,0.96 bdl,0.00 bdl,0.01 bdl,0.56 bdl,0.00 bdl,2.99,1.97,0.37 bdl,2.8,0.10 bdl,0.03 bdl,0.01 bdl,0.03 bdl
27,SE13_19,Wet Center,7/16/25,5:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 19,41.50,542.70,501.20,,Yes,2183,-50.031729,-8.190813,-3.852274,11/08/25,RV_PFAS_11132025,0.011,0.639,0.078,0.206,0.151,0.76,0.011,0.022,0,0.068,0.223,0.188,0.437,0.081,0.234,0.197,0.394,2.497,1.395,0.131,0.043,0.032,0.006,0.01,1.843,0.059,3.382,0.865,0.007,0.016,0.902,0.006,3.366,2.069,0.65,2.827,0.147,0.057,0.056,0.014
28,SE13_21,Wet Center,7/16/25,9:00:00 AM,RV,Stream,Stream_Storm,Storm #13. Sample 21,41.50,431.61,390.11,"Yes, subsampled 100 Ml from PFAS sample",Yes,2185,-49.999914,-8.069252,-3.825327,05/04/26,RV_PFAS_08102026_conc,0.00 bdl,0.10 bdl,0.00 bdl,0.00 bdl,0.22 bdl,0.11 bdl,0.07 bdl,0.02 bdl,0.01 bdl,0.08 bdl,0.24 bdl,0.14 bdl,0.40 bdl,0.07 bdl,0.33 bdl,0.42 bdl,0.36 bdl,0.29 bdl,0.89 bdl,0.07 bdl,0.03 bdl,0.00 bdl,0.00 bdl,0.00 bdl,1.44,0.07 bdl,2.82,0.70 bdl,0.00 bdl,0.01 bdl,0.56 bdl,0.02 bdl,2.76,1.43,0.24 bdl,2.16,0.16 bdl,0.02 bdl,0.08 bdl,0.04 bdl
29,SE13_23,Wet Center,7/16/25,1:00:00 PM,RV,Stream,Stream_Storm,Storm #13. Sample 23,42.00,437.78,395.78,"Yes, subsampled 100 Ml from PFAS sample",Yes,2187,-49.583884,-7.965952,-3.74051,05/04/26,RV_PFAS_08102026_conc,0.01 bdl,0.11 bdl,0.00 bdl,0.17 bdl,0.20 bdl,0.07 bdl,0.03 bdl,0.02 bdl,0.00 bdl,0.10 bdl,0.21 bdl,0.11 bdl,0.31 bdl,0.07 bdl,0.21 bdl,0.29 bdl,0.23 bdl,2.22 bdl,1.06,0.14 bdl,0.01 bdl,0.02 bdl,0.00 bdl,0.01 bdl,1.62,0.06 bdl,2.67,0.85 bdl,0.01 bdl,0.01 bdl,0.52 bdl,0.00 bdl,2.73,1.83,0.25 bdl,2.15,0.07 bdl,0.03 bdl,0.02 bdl,0.08 bdl
30,WC_1,Wet Center,7/23/25,2:36 PM,RV,Stream,Baseflow,,41.93,536.80,494.87,,Yes,,,,,06/01/26,RV_PFAS_07082026,0.00 bdl,0.00 bdl,0.00 bdl,0.69 bdl,1.19 bdl,0.06 bdl,0.03 bdl,0.01 bdl,0.01 bdl,0.08 bdl,0.16 bdl,0.11 bdl,0.27 bdl,0.07 bdl,0.19 bdl,0.28 bdl,0.33 bdl,0.48 bdl,1.85,0.11 bdl,0.07 bdl,0.00 bdl,0.04 bdl,0.01 bdl,2.75,0.04 bdl,6.41,0.92 bdl,0.01 bdl,0.01 bdl,0.62 bdl,0.01 bdl,4.58,2.4,3.78,5.49,0.12 bdl,0.03 bdl,0.03 bdl,0.07 bdl
31,,WC Upstream,7/23/25,2:42 PM,RV,Stream,Baseflow,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,WC_8,Wet Center,7/28/25,2:09 PM,RV,Stream,Baseflow,,41.58,453.84,412.26,,Yes,,,,,06/04/26,RV_PFAS_07082026,0.00 bdl,0.14 bdl,0.00 bdl,0.59 bdl,0.37 bdl,0.33 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.11 bdl,0.35 bdl,0.13 bdl,0.42 bdl,0.07 bdl,0.35 bdl,0.32 bdl,0.40 bdl,2.39 bdl,1.48,0.12 bdl,0.00 bdl,0.01 bdl,0.01 bdl,0.00 bdl,2.07,0.10 bdl,4.89,0.96 bdl,0.01 bdl,0.00 bdl,0.54 bdl,0.00 bdl,3.67,1.82,0.19 bdl,3.88,0.10 bdl,0.07 bdl,0.05 bdl,0.04 bdl
33,,WC Upstream,7/28/25,2:45 PM,RV,Stream,Baseflow,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,WC Upstream,8/7/25,10:58:00 AM,"RV,XG",Stream,Baseflow,,,,,,Yes,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,WC_2,Wet Center ,8/7/25,11:07:00 AM,"RV,XG",Stream,Baseflow,,41.58,586.00,544.42,,Yes,2040,,,,06/01/26,RV_PFAS_07082026,0.00 bdl,0.19 bdl,0.00 bdl,0.28 bdl,0.29 bdl,0.06 bdl,0.01 bdl,0.00 bdl,0.01 bdl,0.04 bdl,0.21 bdl,0.13 bdl,0.48 bdl,0.08 bdl,0.30 bdl,0.31 bdl,0.79 bdl,0.49 bdl,2.23,0.16 bdl,0.07 bdl,0.01 bdl,0.03 bdl,0.01 bdl,2.72,0.04 bdl,6.63,0.99 bdl,0.01 bdl,0.01 bdl,0.71 bdl,0.01 bdl,4.61,2.5,5.61,5.73,0.17 bdl,0.08 bdl,0.02 bdl,0.10 bdl
