Sample #,Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,TOC/TN analyzed,IC analyzed,UV254 analyzed,PFAS Analyzed?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,Corresponding Table,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
36,,Wet Center UP,8/13/2025,12:02 PM,"RV,XG",Stream,Baseflow,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,WC_3,Wet Center ,8/13/2025,11:52 AM,"RV,XG",Stream,Baseflow,,41.58,559.07,517.49,,Yes,,,,,,,,,6/1/2026,RV_PFAS_07082026,0.00 bdl,0.29 bdl,0.00 bdl,0.44 bdl,0.36 bdl,0.22 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.10 bdl,0.21 bdl,0.11 bdl,0.39 bdl,0.06 bdl,0.29 bdl,0.26 bdl,0.50 bdl,0.50 bdl,1.8,0.11 bdl,0.02 bdl,0.01 bdl,0.03 bdl,0.01 bdl,2.78,0.07 bdl,6.8,1.10 bdl,0.01 bdl,0.03 bdl,0.60 bdl,0.01 bdl,4.94,2.46,8.15,5.95,0.09 bdl,0.02 bdl,0.02 bdl,0.04 bdl
38,,Wet Center UP,8/18/2025,12:30 PM,"XG,EW,TN",Stream,Baseflow,Collected by XG while RV was on personal trip.,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,WC_4,Wet Center ,8/18/2025,12:46 PM,"XG, EW, TN",Stream,Baseflow,Collected by XG while RV was on personal trip.,41.58,529.9,488.32,,Yes,,,,,2084,,,,6/1/2026,RV_PFAS_07082026,0.00 bdl,0.12 bdl,0.00 bdl,0.38 bdl,0.42 bdl,0.17 bdl,0.01 bdl,0.01 bdl,0.01 bdl,0.09 bdl,0.20 bdl,0.17 bdl,0.42 bdl,0.07 bdl,0.25 bdl,0.18 bdl,0.55 bdl,0.42 bdl,1.69,0.20 bdl,0.03 bdl,0.02 bdl,0.02 bdl,0.00 bdl,2.38,0.10 bdl,6.76,0.96 bdl,0.00 bdl,0.01 bdl,0.55 bdl,0.06 bdl,4.59,2.31,8.53,5.45,0.14 bdl,0.02 bdl,0.03 bdl,0.03 bdl
40,Data Lost. Method Creation error,Wet Center,8/25/2025,2:44 PM,XG,Stream,Baseflow,Collected by XG while RV was on personal trip.Ran by Shane,,,,,Yes,,,,,2110,,,,8/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Lost. Method Creation error,Wet Center UP,8/25/2025,2:34 PM,XG,Stream,Baseflow,Collected by XG while RV was on personal trip.Ran by Shane,,,,,Yes,,,,,2109,,,,8/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Lost. Method Creation error,Wet Center UP,8/25/2025,2:34 PM,XG,Stream,Baseflow,Collected by XG while RV was on personal trip.Ran by Shane,,,,,Yes,,,,,2109,,,,8/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,WC_5,Wet Center,9/9/2025,2:04 PM,RV,Stream,Baseflow,,41.58,566.09,524.51,,Yes,,,,,,,,,6/1/2026,RV_PFAS_07082026,0.00 bdl,0.12 bdl,0.00 bdl,0.69 bdl,0.84 bdl,0.20 bdl,0.01 bdl,0.01 bdl,0.00 bdl,0.08 bdl,0.31 bdl,0.16 bdl,0.64 bdl,0.06 bdl,0.31 bdl,0.21 bdl,0.80 bdl,0.44 bdl,1.32,0.07 bdl,0.03 bdl,0.01 bdl,0.03 bdl,0.01 bdl,2.11,0.09 bdl,4.97,0.88 bdl,0.00 bdl,0.01 bdl,0.47 bdl,0.03 bdl,3.55,1.91,4.29,4.63,0.20 bdl,0.03 bdl,0.04 bdl,0.02 bdl
44,,Wet Center UP,9/9/2025,2:00 PM,RV,Stream,Baseflow,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,WC_6,Wet Center,9/26/2025,5:49 PM,RV,Stream,Baseflow,Samples collected post-Storm 14.,41.58,565.83,524.25,,Yes,,,,,2151,,,,6/1/2026,RV_PFAS_07082026,0.00 bdl,0.05 bdl,0.00 bdl,0.21 bdl,0.17 bdl,0.14 bdl,0.05 bdl,0.00 bdl,0.01 bdl,0.10 bdl,0.21 bdl,0.13 bdl,0.51 bdl,0.12 bdl,0.37 bdl,0.24 bdl,0.82 bdl,0.25 bdl,1.3,0.12 bdl,0.03 bdl,0.01 bdl,0.01 bdl,0.02 bdl,1.36,0.02 bdl,2.98,0.80 bdl,0.01 bdl,0.01 bdl,0.57 bdl,0.01 bdl,3.05,2.26,11.99,2.84,0.08 bdl,0.06 bdl,0.04 bdl,0.06 bdl
