Sample #,Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,TOC/TN analyzed,IC analyzed,UV254 analyzed,PFAS Analyzed?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,Corresponding Table,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
,,Eastman Down,10/18/2025,1:18:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lake Warner Outlet,10/18/2025,2:01:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Knightly,10/18/2025,1:39:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Campus Pond Up ,10/18/2025,1:18:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Horse Down,10/18/2025,11:58:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Horse Up,10/18/2025,12:31:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tan Brook Down,10/18/2025,11:13:00 AM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Campus Pond Down,10/18/2025,1:32:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tan Brook Up ,10/18/2025,12:51:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mill Site,10/18/2025,2:27:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,WC_17,Wet Center,10/24/2025,10:07:00 AM,RV,Stream,Baseflow,,42.22,544.8,502.58,Yes,Yes,Yes,Yes,Yes,,2321,-47.46,-7.55,-2.67,6/18/2026,RV_PFAS_07082026,0.00 bdl,0.07 bdl,0.00 bdl,0.37 bdl,0.15 bdl,0.13 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.16 bdl,0.28 bdl,0.09 bdl,0.25 bdl,0.04 bdl,0.18 bdl,0.28 bdl,0.23 bdl,0.63 bdl,1.32,0.08 bdl,0.03 bdl,0.01 bdl,0.01 bdl,0.01 bdl,1.59,0.08 bdl,3.63,0.85 bdl,0.01 bdl,0.01 bdl,0.52 bdl,0.00 bdl,2.91,1.41,0.64 bdl,2.87,0.21 bdl,0.02 bdl,0.03 bdl,0.02 bdl
107,,Wet Center UP,10/24/2025,10:14:00 AM,RV,Stream,Baseflow,,41.51,546.9,505.39,Yes,Yes,Yes,Yes,Yes,,2322,-47.61,-7.47,-2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,SE16_P1_H,Wet Center,10/29/2025,11:12:00 AM,"XG, ZW",Precipitation,Stream_Storm,Storm 16 bulk. Homemade precip collector,41.15,551.8,510.65,Yes,Yes,Yes,Yes,Yes,Yes,2323,-108.98,-14.44,-6.74,11/14/2025,,0.004,0.047,0.051,0.286,0.139,0.315,0.004,0.009,0.003,0.521,0.146,0.069,0.135,0.036,0.106,0.045,0.141,0.887,0.023,0.059,0.068,0,0.032,0.008,0.639,0.024,13.335,0.301,0.007,0.297,0.866,0.028,1.443,0.395,0.033,1.171,0.01,0.043,0.084,0.057
109,SE16_P1_E,Wet Center,10/21/2025,11:12:00 AM,"XG, ZW",Precipitation,Stream_Storm,Storm 16 bulk Precip. Euro precip collector. Collected a small storm on October 12 and wasn't replaced ,41.03,565.3,524.27,Yes,Yes,Yes,Yes,Yes,Yes,2324,-91.54,-12.67,-5.92,11/14/2025,,0.002,0.043,0.031,0.333,0.053,0.192,0.024,0.013,0.01,0.06,0.164,0.107,0.242,0.063,0.156,0.088,0.184,4.213,0.096,0.086,0.084,0.007,0.014,0.002,0.313,0.01,0.328,0.185,0.012,0.361,0.848,0.005,0.566,0.361,0.111,0.3,0.041,0.025,0.028,0.068
110,SE16_1,Wet Center,10/30/2025,3:40:00 AM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 1,41.74,539.7,497.96,Yes,Yes,Yes,Yes,Yes,Yes,2325,-49.39,-7.76,-3.51,2/15/2026,RV_PFAS_02202026,0.01 bdl,0.13 bdl,0.09 bdl,0.71 bdl,0.81 bdl,0.66 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.05 bdl,0.19 bdl,0.10 bdl,0.23 bdl,0.07 bdl,0.11 bdl,0.31 bdl,0.22 bdl,2.97 bdl,1.37 bdl,0.08 bdl,0.05 bdl,0.01 bdl,0.01 bdl,0.01 bdl,2.2,0.05 bdl,4.2,0.83 bdl,0.00 bdl,0.02 bdl,0.58 bdl,0.01 bdl,3.87,1.71 bdl,0.47 bdl,3.83 bdl,0.15 bdl,0.03 bdl,0.02 bdl,0.03 bdl
111,SE16_2,Wet Center,10/30/2025,5:40:00 AM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 2,41.6,558.9,517.3,Yes,Yes,Yes,Yes,Yes,Yes,2326,-49.66,-7.86,-3.63,2/25/2026,RV_PFAS_03122026,0.05 bdl,0.25 bdl,0.00 bdl,0.62 bdl,0.58 bdl,0.46 bdl,0.02 bdl,0.02 bdl,0.02 bdl,0.07 bdl,0.23 bdl,0.22 bdl,0.94 bdl,0.07 bdl,0.22 bdl,0.41 bdl,0.61 bdl,0.61 bdl,1.46 bdl,0.06 bdl,0.04 bdl,0.03 bdl,0.02 bdl,0.01 bdl,2.26,0.13 bdl,4.21,0.92 bdl,0.01 bdl,0.01 bdl,0.49 bdl,0.00 bdl,3.51,1.63 bdl,0.24 bdl,3.8,0.19 bdl,0.04 bdl,0.03 bdl,0.03 bdl
112,SE16_3,Wet Center,10/30/2025,7:40:00 AM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 3,41.72,535.6,493.88,Yes,Yes,Yes,Yes,Yes,Yes,2327,-49.39,-7.89,-3.74,2/25/2026,RV_PFAS_03122026,0.02 bdl,0.07 bdl,0.00 bdl,0.62 bdl,0.59 bdl,0.55 bdl,0.05 bdl,0.00 bdl,0.02 bdl,0.13 bdl,0.24 bdl,0.23 bdl,0.62 bdl,0.06 bdl,0.22 bdl,0.43 bdl,0.54 bdl,0.52 bdl,1.38 bdl,0.10 bdl,0.06 bdl,0.02 bdl,0.02 bdl,0.00 bdl,2.16,0.10 bdl,4.1,0.89 bdl,0.01 bdl,0.01 bdl,0.47 bdl,0.01 bdl,3.39,1.62 bdl,0.20 bdl,3.55 bdl,0.12 bdl,0.04 bdl,0.05 bdl,0.03 bdl
113,SE16_4,Wet Center,10/30/2025,9:40:00 AM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 4,42.15,544.1,501.95,Yes,Yes,Yes,Yes,Yes,Yes,2328,-49,-7.89,-3.89,2/25/2026,RV_PFAS_03122026,0.01 bdl,0.00 bdl,0.00 bdl,0.51 bdl,0.93 bdl,0.12 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.11 bdl,0.30 bdl,0.18 bdl,0.59 bdl,0.06 bdl,0.27 bdl,0.36 bdl,0.48 bdl,0.52 bdl,1.35 bdl,0.05 bdl,0.03 bdl,0.00 bdl,0.02 bdl,0.01 bdl,2.08,0.05 bdl,4.11,0.78 bdl,0.01 bdl,0.01 bdl,0.50 bdl,0.05 bdl,3.61,1.67 bdl,0.21 bdl,3.59 bdl,0.06 bdl,0.03 bdl,0.01 bdl,0.03 bdl
114,SE16_5,Wet Center,10/30/2025,11:40:00 AM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 5,42.33,562.2,519.87,Yes,Yes,Yes,Yes,Yes,Yes,2329,-49.23,-7.95,-3.95,2/25/2026,RV_PFAS_03122026,0.00 bdl,0.08 bdl,0.00 bdl,0.44 bdl,1.11 bdl,0.25 bdl,0.03 bdl,0.01 bdl,0.00 bdl,0.07 bdl,0.26 bdl,0.19 bdl,0.54 bdl,0.07 bdl,0.32 bdl,0.42 bdl,0.51 bdl,0.58 bdl,1.60 bdl,0.06 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.01 bdl,2,0.08 bdl,4.45,0.87 bdl,0.01 bdl,0.02 bdl,0.54 bdl,0.01 bdl,3.49,1.94 bdl,0.18 bdl,3.89,0.10 bdl,0.02 bdl,0.02 bdl,0.02 bdl
115,SE16_6,Wet Center,10/30/2025,1:40:00 PM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 6,41.67,540.7,499.03,Yes,Yes,Yes,Yes,Yes,Yes,2330,-49.45,-7.91,-3.82,2/25/2026,RV_PFAS_03122026,0.00 bdl,0.14 bdl,0.00 bdl,0.54 bdl,1.35 bdl,0.31 bdl,0.03 bdl,0.01 bdl,0.00 bdl,0.06 bdl,0.18 bdl,0.22 bdl,0.38 bdl,0.08 bdl,0.20 bdl,0.39 bdl,0.31 bdl,0.60 bdl,1.56 bdl,0.07 bdl,0.01 bdl,0.00 bdl,0.02 bdl,0.00 bdl,1.99,0.05 bdl,4.19,0.74 bdl,0.01 bdl,0.01 bdl,0.44 bdl,0.07 bdl,3.59,2.05 bdl,0.17 bdl,3.70 bdl,0.13 bdl,0.02 bdl,0.02 bdl,0.03 bdl
116,SE16_7,Wet Center,10/30/2025,3:40:00 PM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 7,41.67,564.3,522.63,Yes,Yes,Yes,Yes,Yes,Yes,2331,-49.25,-7.94,-3.84,2/25/2026,RV_PFAS_03122026,0.00 bdl,0.02 bdl,0.00 bdl,0.58 bdl,0.09 bdl,0.06 bdl,0.01 bdl,0.01 bdl,0.01 bdl,0.07 bdl,0.16 bdl,0.09 bdl,0.25 bdl,0.09 bdl,0.20 bdl,0.29 bdl,0.24 bdl,0.44 bdl,1.33 bdl,0.05 bdl,0.01 bdl,0.01 bdl,0.03 bdl,0.01 bdl,1.36 bdl,0.04 bdl,3.08,0.69 bdl,0.01 bdl,0.01 bdl,0.35 bdl,0.01 bdl,2.61,1.58 bdl,0.40 bdl,2.25 bdl,0.09 bdl,0.01 bdl,0.01 bdl,0.03 bdl
117,SE16_8,Wet Center,10/30/2025,5:40:00 PM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 8,41.56,539.7,498.14,Yes,Yes,Yes,Yes,Yes,Yes,2332,-41.83,-6.39,-2.97,2/25/2026,RV_PFAS_03122026,0.01 bdl,0.10 bdl,0.00 bdl,0.53 bdl,0.22 bdl,0.17 bdl,0.02 bdl,0.00 bdl,0.00 bdl,0.06 bdl,0.19 bdl,0.26 bdl,0.39 bdl,0.09 bdl,0.20 bdl,0.42 bdl,0.30 bdl,0.20 bdl,0.99 bdl,0.08 bdl,0.03 bdl,0.01 bdl,0.05 bdl,0.01 bdl,1.64 bdl,0.07 bdl,2.49,0.70 bdl,0.00 bdl,0.02 bdl,0.58 bdl,0.05 bdl,3.09,1.59 bdl,0.53 bdl,2.30 bdl,0.11 bdl,0.02 bdl,0.02 bdl,0.07 bdl
118,SE16_9,Wet Center,10/30/2025,7:40:00 PM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 9,41.87,556.4,514.53,Yes,Yes,Yes,Yes,Yes,Yes,2333,-44.21,-6.9,-3.37,3/7/2026,RV_PFAS_03122026,0.00 bdl,0.32 bdl,0.00 bdl,0.48 bdl,0.27 bdl,0.29 bdl,0.01 bdl,0.00 bdl,0.02 bdl,0.17 bdl,0.22 bdl,0.21 bdl,0.36 bdl,0.04 bdl,0.23 bdl,0.49 bdl,0.32 bdl,0.39 bdl,0.49 bdl,0.25 bdl,0.08 bdl,0.00 bdl,0.12 bdl,0.01 bdl,1.56 bdl,0.13 bdl,3.55,0.90 bdl,0.03 bdl,0.01 bdl,0.73 bdl,0.02 bdl,2.92,2.25,0.37 bdl,3.13 bdl,0.10 bdl,0.02 bdl,0.03 bdl,0.07 bdl
119,SE16_10,Wet Center,10/30/2025,9:40:00 PM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 10,42.09,547,504.91,Yes,Yes,Yes,Yes,Yes,Yes,2334,-86.41,-12.11,-6.29,3/7/2026,RV_PFAS_03122026,0.00 bdl,0.18 bdl,0.00 bdl,0.33 bdl,0.31 bdl,0.38 bdl,0.04 bdl,0.00 bdl,0.00 bdl,0.12 bdl,0.20 bdl,0.14 bdl,0.32 bdl,0.04 bdl,0.22 bdl,0.30 bdl,0.26 bdl,2.22 bdl,1.39 bdl,0.30 bdl,0.13 bdl,0.03 bdl,0.09 bdl,0.01 bdl,1.17 bdl,0.13 bdl,2.94,0.68 bdl,0.01 bdl,0.01 bdl,0.67 bdl,0.02 bdl,2.47,1.87 bdl,0.75 bdl,2.92 bdl,0.13 bdl,0.07 bdl,0.07 bdl,0.13 bdl
120,SE16_11,Wet Center,10/30/2025,11:40:00 PM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 11,41.65,541.7,500.05,Yes,Yes,Yes,Yes,Yes,Yes,2335,-69.33,-10.12,-5.21,3/7/2026,RV_PFAS_03122026,0.01 bdl,0.15 bdl,0.00 bdl,0.26 bdl,0.51 bdl,0.19 bdl,0.16 bdl,0.01 bdl,0.00 bdl,0.04 bdl,0.13 bdl,0.27 bdl,0.27 bdl,0.03 bdl,0.14 bdl,0.33 bdl,0.19 bdl,1.00 bdl,1.59 bdl,0.29 bdl,0.07 bdl,0.02 bdl,0.03 bdl,0.00 bdl,1.67 bdl,0.08 bdl,3.63,0.78 bdl,0.01 bdl,0.05 bdl,1.07 bdl,0.00 bdl,3.78,2.18,0.34 bdl,4.29,0.15 bdl,0.04 bdl,0.04 bdl,0.08 bdl
121,SE16_12,Wet Center,10/31/2025,1:40:00 AM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 12,42.23,545.9,503.67,Yes,Yes,Yes,Yes,Yes,Yes,2336,-71.01,-10.39,-5.36,3/7/2026,RV_PFAS_03122026,0.00 bdl,0.26 bdl,0.00 bdl,0.34 bdl,0.08 bdl,0.41 bdl,0.03 bdl,0.00 bdl,0.01 bdl,0.19 bdl,0.18 bdl,0.30 bdl,0.29 bdl,0.06 bdl,0.18 bdl,0.41 bdl,0.27 bdl,0.18 bdl,1.52 bdl,0.33 bdl,0.06 bdl,0.01 bdl,0.03 bdl,0.02 bdl,1.24 bdl,0.14 bdl,2.96,0.94 bdl,0.02 bdl,0.01 bdl,0.75 bdl,0.04 bdl,3.07,2.58,0.55 bdl,3.74 bdl,0.27 bdl,0.04 bdl,0.03 bdl,0.15 bdl
122,SE16_13,Wet Center,10/31/2025,3:40:00 AM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 13,41.42,536.5,495.08,Yes,Yes,Yes,Yes,Yes,Yes,2337,-72.52,-10.62,-5.23,3/7/2026,RV_PFAS_03122026,0.00 bdl,0.05 bdl,0.00 bdl,0.38 bdl,0.19 bdl,0.17 bdl,0.10 bdl,0.00 bdl,0.00 bdl,0.10 bdl,0.28 bdl,0.23 bdl,0.46 bdl,0.07 bdl,0.32 bdl,0.33 bdl,0.37 bdl,3.31 bdl,1.45 bdl,0.24 bdl,0.03 bdl,0.00 bdl,0.02 bdl,0.00 bdl,1.55 bdl,0.04 bdl,3.04,0.63 bdl,0.01 bdl,0.02 bdl,0.88 bdl,0.02 bdl,3.09,2.41,0.30 bdl,3.52 bdl,0.07 bdl,0.03 bdl,0.02 bdl,0.08 bdl
123,SE16_14,Wet Center,10/31/2025,5:40:00 AM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 14,41.39,549.8,508.41,Yes,Yes,Yes,Yes,Yes,Yes,2338,-105.47,-14.83,-7.36,3/7/2026,RV_PFAS_03122026,0.01 bdl,0.11 bdl,0.00 bdl,0.23 bdl,0.17 bdl,0.28 bdl,0.09 bdl,0.00 bdl,0.00 bdl,0.06 bdl,0.16 bdl,0.18 bdl,0.31 bdl,0.05 bdl,0.19 bdl,0.26 bdl,0.23 bdl,2.19 bdl,0.79 bdl,0.28 bdl,0.07 bdl,0.02 bdl,0.03 bdl,0.03 bdl,1.01 bdl,0.10 bdl,2.74,0.54 bdl,0.01 bdl,0.01 bdl,0.76 bdl,0.02 bdl,2.39,1.52 bdl,0.35 bdl,2.51 bdl,0.15 bdl,0.05 bdl,0.05 bdl,0.12 bdl
124,SE16_15,Wet Center,10/31/2025,7:40:00 AM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 15,41.43,553,511.57,Yes,Yes,Yes,Yes,Yes,Yes,2339,-79.3,-11.64,-5.8,3/7/2026,RV_PFAS_03122026,0.00 bdl,0.09 bdl,0.00 bdl,0.29 bdl,0.11 bdl,0.25 bdl,0.01 bdl,0.01 bdl,0.00 bdl,0.09 bdl,0.22 bdl,0.20 bdl,0.36 bdl,0.08 bdl,0.23 bdl,0.34 bdl,0.28 bdl,2.66 bdl,1.33 bdl,0.21 bdl,0.06 bdl,0.01 bdl,0.06 bdl,0.02 bdl,1.26 bdl,0.01 bdl,2.39,0.67 bdl,0.01 bdl,0.01 bdl,0.68 bdl,0.03 bdl,2.71,2.02 bdl,0.49 bdl,2.37 bdl,0.11 bdl,0.05 bdl,0.03 bdl,0.08 bdl
125,SE16_16,Wet Center,10/31/2025,9:40:00 AM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 16,41.47,562.1,520.63,Yes,Yes,Yes,Yes,Yes,Yes,2340,-78.19,-11.5,-5.66,3/7/2026,RV_PFAS_03122026,0.00 bdl,0.04 bdl,0.00 bdl,0.18 bdl,0.15 bdl,0.28 bdl,0.03 bdl,0.00 bdl,0.01 bdl,0.07 bdl,0.25 bdl,0.20 bdl,0.35 bdl,0.07 bdl,0.25 bdl,0.32 bdl,0.31 bdl,2.86 bdl,1.14 bdl,0.22 bdl,0.04 bdl,0.00 bdl,0.07 bdl,0.01 bdl,1.23 bdl,0.03 bdl,2.06,0.63 bdl,0.01 bdl,0.01 bdl,0.74 bdl,0.01 bdl,2.8,1.90 bdl,0.86 bdl,2.94 bdl,0.07 bdl,0.01 bdl,0.05 bdl,0.07 bdl
126,SE16_17,Wet Center,10/31/2025,11:40:00 AM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 17,41.44,571.9,530.46,Yes,Yes,Yes,Yes,Yes,Yes,2341,-70.55,-10.5,-5.06,3/7/2026,RV_PFAS_03122026,0.00 bdl,0.03 bdl,0.00 bdl,4.06 bdl,0.20 bdl,0.37 bdl,0.02 bdl,0.00 bdl,0.00 bdl,0.08 bdl,0.25 bdl,0.27 bdl,0.45 bdl,0.05 bdl,0.28 bdl,0.48 bdl,0.42 bdl,2.67 bdl,1.10 bdl,0.12 bdl,0.03 bdl,0.00 bdl,0.03 bdl,0.02 bdl,1.12 bdl,0.15 bdl,2.01,0.73 bdl,0.01 bdl,0.01 bdl,0.68 bdl,0.03 bdl,2.82,2.02,0.65 bdl,2.37 bdl,0.09 bdl,0.05 bdl,0.05 bdl,0.08 bdl
127,SE16_18,Wet Center,10/31/2025,1:40:00 PM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 18,42.29,548.3,506.01,Yes,Yes,Yes,Yes,Yes,Yes,2342,-64.33,-9.7,-4.63,3/7/2026,RV_PFAS_03122026,0.00 bdl,0.22 bdl,0.00 bdl,0.26 bdl,0.07 bdl,0.46 bdl,0.04 bdl,0.00 bdl,0.01 bdl,0.09 bdl,0.03 bdl,0.17 bdl,0.05 bdl,0.03 bdl,0.03 bdl,0.34 bdl,0.08 bdl,2.35 bdl,0.91 bdl,0.15 bdl,0.03 bdl,0.01 bdl,0.01 bdl,0.00 bdl,0.98 bdl,0.07 bdl,2.03,0.64 bdl,0.01 bdl,0.01 bdl,0.52 bdl,0.01 bdl,2.73,1.85 bdl,0.86 bdl,2.03 bdl,0.07 bdl,0.01 bdl,0.02 bdl,0.02 bdl
128,SE16_19,Wet Center,10/31/2025,3:40:00 PM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 19,41.45,569.3,527.85,Yes,Yes,Yes,Yes,Yes,Yes,2343,-60.55,-9.21,-4.39,3/7/2026,RV_PFAS_03122026,0.00 bdl,0.13 bdl,0.00 bdl,0.17 bdl,0.13 bdl,0.54 bdl,0.00 bdl,0.00 bdl,0.00 bdl,0.11 bdl,0.20 bdl,0.12 bdl,0.33 bdl,0.08 bdl,0.24 bdl,0.41 bdl,0.29 bdl,0.83 bdl,1.03 bdl,0.10 bdl,0.02 bdl,0.05 bdl,0.05 bdl,0.01 bdl,1.10 bdl,0.02 bdl,2.08,0.65 bdl,0.01 bdl,0.01 bdl,0.53 bdl,0.04 bdl,2.94,1.69 bdl,0.90 bdl,2.13 bdl,0.06 bdl,0.02 bdl,0.01 bdl,0.04 bdl
129,SE16_20,Wet Center,10/31/2025,5:40:00 PM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 20,41.31,559.4,518.09,Yes,Yes,Yes,Yes,Yes,Yes,2344,-59.1,-9.05,-4.25,3/7/2026,RV_PFAS_03122026,0.00 bdl,0.07 bdl,0.00 bdl,0.56 bdl,0.09 bdl,0.47 bdl,0.02 bdl,0.01 bdl,0.00 bdl,0.11 bdl,0.17 bdl,0.15 bdl,0.27 bdl,0.04 bdl,0.18 bdl,0.31 bdl,0.25 bdl,0.94 bdl,1.06 bdl,0.10 bdl,0.03 bdl,0.00 bdl,0.03 bdl,0.01 bdl,1.11 bdl,0.01 bdl,1.98,0.61 bdl,0.01 bdl,0.01 bdl,0.64 bdl,0.03 bdl,2.86,1.62 bdl,0.78 bdl,2.10 bdl,0.10 bdl,0.02 bdl,0.04 bdl,0.05 bdl
130,SE16_21,Wet Center,10/31/2025,7:40:00 PM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 21,41.68,539.5,497.82,Yes,Yes,Yes,Yes,Yes,Yes,2345,-58.66,-8.95,-4.18,3/7/2026,RV_PFAS_03122026,0.00 bdl,0.15 bdl,0.00 bdl,0.77 bdl,0.13 bdl,0.18 bdl,0.04 bdl,0.00 bdl,0.00 bdl,0.16 bdl,0.19 bdl,0.22 bdl,0.24 bdl,0.05 bdl,0.21 bdl,0.37 bdl,0.26 bdl,0.84 bdl,1.02 bdl,0.09 bdl,0.01 bdl,0.00 bdl,0.02 bdl,0.02 bdl,1.17 bdl,0.00 bdl,1.86,0.59 bdl,0.00 bdl,0.01 bdl,0.63 bdl,0.05 bdl,2.57,1.86 bdl,0.94 bdl,1.96 bdl,0.09 bdl,0.04 bdl,0.03 bdl,0.03 bdl
131,SE16_22,Wet Center,10/31/2025,9:40:00 PM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 22,41.46,548.3,506.84,Yes,Yes,Yes,Yes,Yes,Yes,2346,-59.19,-9.17,-4.53,3/7/2026,RV_PFAS_03122026,0.00 bdl,0.10 bdl,0.00 bdl,2.65 bdl,0.08 bdl,0.24 bdl,0.03 bdl,0.01 bdl,0.01 bdl,0.10 bdl,0.29 bdl,0.21 bdl,0.42 bdl,0.07 bdl,0.27 bdl,0.29 bdl,0.35 bdl,1.55 bdl,1.07 bdl,0.10 bdl,0.03 bdl,0.00 bdl,0.01 bdl,0.00 bdl,1.34 bdl,0.07 bdl,2.03,0.77 bdl,0.01 bdl,0.01 bdl,0.53 bdl,0.01 bdl,2.96,1.70 bdl,0.91 bdl,2.12 bdl,0.11 bdl,0.03 bdl,0.01 bdl,0.04 bdl
132,SE16_23,Wet Center,10/31/2025,11:40:00 PM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 23,41.53,,,Yes,Yes,Yes,Yes,Yes,Yes,2347,-59.25,-9.15,-4.46,4/3/2026,RV_PFAS_04172026,0.00 bdl,0.00 bdl,0.00 bdl,0.52 bdl,0.09 bdl,0.16 bdl,0.00 bdl,0.02 bdl,0.01 bdl,0.19 bdl,0.26 bdl,0.11 bdl,0.36 bdl,0.06 bdl,0.18 bdl,0.34 bdl,0.30 bdl,1.16 bdl,1.24,0.13 bdl,0.02 bdl,0.02 bdl,0.00 bdl,0.01 bdl,1.33,0.07 bdl,2.57,0.61 bdl,0.01 bdl,0.01 bdl,0.57 bdl,0.01 bdl,3.2,1.69,2.4,2.37,0.12 bdl,0.02 bdl,0.01 bdl,0.02 bdl
133,SE16_24,Wet Center,11/1/2025,1:40:00 AM,"XG, ZW",Stream,Stream_Storm,Storm 16: Sample 24,41.48,,,Yes,Yes,Yes,Yes,Yes,Yes,2348,-57.86,-9.01,-4.34,4/3/2026,RV_PFAS_04172026,0.00 bdl,0.14 bdl,0.00 bdl,0.48 bdl,0.14 bdl,0.17 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.17 bdl,0.19 bdl,0.12 bdl,0.24 bdl,0.08 bdl,0.14 bdl,0.42 bdl,0.23 bdl,1.18 bdl,0.99,0.07 bdl,0.02 bdl,0.01 bdl,0.02 bdl,0.01 bdl,1.27,0.08 bdl,2.69,0.61 bdl,0.00 bdl,0.01 bdl,0.56 bdl,0.02 bdl,3.14,1.53,2.5,2.28,0.05 bdl,0.02 bdl,0.03 bdl,0.04 bdl
134,WC_19,Wet Center,10/31/2025,8:49:00 AM,"ZW, TN",Stream,Baseflow,During storm 16.,42.1,546.69,504.59,Yes,Yes,Yes,Yes,Yes,Yes,2349,-77.13,-11.26,-5.35,6/23/2026,RV_PFAS_07082026,0.00 bdl,0.00 bdl,0.00 bdl,0.35 bdl,0.11 bdl,0.08 bdl,0.00 bdl,0.01 bdl,0.02 bdl,0.04 bdl,0.31 bdl,0.22 bdl,0.36 bdl,0.10 bdl,0.34 bdl,0.40 bdl,0.35 bdl,2.58 bdl,1.09,0.19 bdl,0.03 bdl,0.00 bdl,0.03 bdl,0.01 bdl,1.26,0.05 bdl,2.02,0.73 bdl,0.01 bdl,0.01 bdl,0.65 bdl,0.01 bdl,2.65,2.06,1.07,2.25,0.05 bdl,0.01 bdl,0.09 bdl,0.08 bdl
