Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,TOC/TN analyzed,IC analyzed,UV254 analyzed,PFAS Analyzed?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
SE15_5,Wet Center,10/13/2025,12:15 AM,RV,Stream,Stream_Storm,Storm 15. Sample #5,41.3,545.1,503.8,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2233,-45.11,-7.37,-3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE15_7,Wet Center,10/13/2025,6:15 AM,RV,Stream,Stream_Storm,Storm 15. Sample #7,41.9,527.9,486,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2235,-50.15,-7.8,-3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE15_9,Wet Center,10/13/2025,12:15 PM,RV,Stream,Stream_Storm,Storm 15. Sample #9,42,528.5,486.5,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2237,-49.65,-7.82,-3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE15_11,Wet Center,10/13/2025,6:15 PM,RV,Stream,Stream_Storm,Storm 15. Sample #11,41.4,547.3,505.9,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2239,-50.22,-7.96,-3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE15_13,Wet Center,10/14/2025,12:15 AM,RV,Stream,Stream_Storm,Storm 15. Sample #13,41.5,535,493.5,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2241,-49.61,-7.86,-3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE15_15,Wet Center,10/14/2025,6:15 AM,RV,Stream,Stream_Storm,Storm 15. Sample #15,41.1,542.1,501,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2243,-50.12,-7.93,-3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE15_17,Wet Center,10/14/2025,12:15 PM,RV,Stream,Stream_Storm,Storm 15. Sample #17,42,543.5,501.5,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2245,-48.01,-7.79,-3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE15_19,Wet Center,10/14/2025,6:15 PM,RV,Stream,Stream_Storm,Storm 15. Sample #19,42.1,543.4,501.3,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2247,-50.29,-8.08,-3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE15_21,Wet Center,10/15/2025,12:15 AM,RV,Stream,Stream_Storm,Storm 15. Sample #21,41.2,554,512.8,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2249,-50.3,-8.11,-3.95,11/14/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE15_23,Wet Center,10/15/2025,6:15 AM,RV,Stream,Stream_Storm,Storm 15. Sample #23,42.2,541.8,499.6,,Yes,Yes,Yes evens (so NOT the ones that are PFAs),Yes evens (so NOT the ones that are PFAs),Yes,2251,-50.02,-8.08,-3.73,11/14/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_1,MR Rec Area (picnic tables),10/15/2025,7:19 AM,RV,Stream,Spatial,1,41.3,563.8,522.5,,Yes,,,,Yes,2263,,,,11/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_2,Puffers Waterfall,10/15/2025,7:48 AM,RV,Stream,Spatial,2,41.4,,,,Yes,,,,,2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_3,Puffers Beach,10/15/2025,7:55 AM,RV,Stream,Spatial,3,41.3,,,,Yes,,,,,2268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_4,Upper puffers - Railroad,10/15/2025,8:07 AM,RV,Stream,Spatial,4,42.1,,,,Yes,,,,,2270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_5,Haskin Meadows (fishing spot),10/15/2025,8:16 AM,RV,Stream,Spatial,5,41.9,,,,Yes,,,,,2271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_6,Atkins Reservoir,10/15/2025,8:34 AM,RV,Stream,Spatial,6,41.1,,,,Yes,,,,,2273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_7,Roaring,10/15/2025,8:43 AM,RV,Stream,Spatial,7,41.3,,,,Yes,,,,,2274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_8,Broad Hil,10/15/2025,8:50 AM,RV,Stream,Spatial,8,41.2,,,,Yes,,,,,2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_9,Shutesbury Cemetary,10/15/2025,9:01 AM,RV,Stream,Spatial,9,41.7,,,,Yes,,,,,2276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_10,Doolittle,10/15/2025,9:22 AM,RV,Stream,Spatial,10,41.8,,,,Yes,,,,,2277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_11,Leverett Library,10/15/2025,9:33 AM,RV,Stream,Spatial,11,41.3,,,,Yes,,,,,2278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_12,Leverett Pond,10/15/2025,9:44 AM,RV,Stream,Spatial,12,41.6,,,,Yes,,,,,2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_13,Eastman Up,10/15/2025,9:59 AM,RV,Stream,Spatial,13,41.5,,,,Yes,,,,,2280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_14,LW Boat Ramp,10/15/2025,1:50 PM,RV,Stream,Spatial,14,41.4,,,,Yes,,,,,2284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_15,Prindle School,10/15/2025,2:20 PM,RV,Stream,Spatial,15,41.4,,,,Yes,,,,,2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_16,Horse Farm Up,10/15/2025,2:30 PM,RV,Stream,Spatial,16,41.2,,,,Yes,,,,,2286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_17,Fieldstone,10/15/2025,2:47 PM,RV,Stream,Spatial,17,41.8,,,,Yes,,,,,2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center,10/17/2025,9:22:00 AM,RV,Stream,Baseflow,,41.3,,,Yes,Yes,Yes - no TN,No (no more sample),No (no more sample),,2292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center UP,10/17/2025,9:30:00 AM,RV,Stream,Baseflow,,41.4,,,Yes,Yes,Yes - no TN,No (no more sample),No (no more sample),,2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roaring ,10/18/2025,10:57:00 AM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doolittle,10/18/2025,11:14:00 AM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eastman Up ,10/18/2025,11:35:00 AM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eastman Down,10/18/2025,1:18:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lake Warner Outlet,10/18/2025,2:01:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Knightly,10/18/2025,1:39:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Campus Pond Up ,10/18/2025,1:18:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Horse Down,10/18/2025,11:58:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Horse Up,10/18/2025,12:31:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tan Brook Down,10/18/2025,11:13:00 AM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Campus Pond Down,10/18/2025,1:32:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tan Brook Up ,10/18/2025,12:51:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mill Site,10/18/2025,2:27:00 PM,"RV, TN, CG, XG",Stream,13-Site,,N/A,,,Yes,NO,Yes,Yes,Yes,NO,2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center,10/24/2025,10:07:00 AM,1,RV,Baseflow,,42.22,544.8,502.58,Yes,Yes,Yes,Yes,Yes,,2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center UP,10/24/2025,10:14:00 AM,1,RV,Baseflow,,41.51,546.9,505.39,Yes,Yes,Yes,Yes,Yes,,2322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE16_P1_H,Wet Center,10/29/2025,11:12:00 AM,"XG, ZW",Precipitation,Stream Storm,Storm 16 bulk. Homemade precip collector,41.15,551.8,510.65,Yes,Yes,Yes,Yes,Yes,Yes,2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE16_P1_E,Wet Center,10/21/2025,11:12:00 AM,"XG, ZW",Precipitation,Stream Storm,Storm 16 bulk Precip. Euro precip collector. Collected a small storm on October 12 and wasn't replaced ,41.03,565.3,524.27,Yes,Yes,Yes,Yes,Yes,Yes,2324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE16_1,Wet Center,10/30/2025,3:40:00 AM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 1,41.74,539.7,497.96,Yes,Yes,Yes,Yes,Yes,Yes,2325,,,,2/15/2026,0.01,0.13,0.09,0.71,0.81,0.66,0.02,0,0.01,0.05,0.19,0.1,0.23,0.07,0.11,0.31,0.22,2.97,1.37,0.08,0.05,0.01,0.01,0.01,2.20,0.05,4.20,0.83,0,0.02,0.58,0.01,3.87,1.71,0.47,3.83,0.15,0.03,0.02,0.03
SE16_2,Wet Center,10/30/2025,5:40:00 AM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 2,41.6,558.9,517.3,Yes,Yes,Yes,Yes,Yes,Yes,2326,,,,2/25/2026,0.05,0.25,0,0.62,0.58,0.46,0.02,0.02,0.02,0.07,0.23,0.22,0.94,0.07,0.22,0.41,0.61,0.61,1.46,0.06,0.04,0.03,0.02,0.01,2.26,0.13,4.21,0.92,0.01,0.01,0.49,0,3.51,1.63,0.24,3.80,0.19,0.04,0.03,0.03
SE16_3,Wet Center,10/30/2025,7:40:00 AM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 3,41.72,535.6,493.88,Yes,Yes,Yes,Yes,Yes,Yes,2327,,,,2/25/2026,0.02,0.07,0,0.62,0.59,0.55,0.05,0,0.02,0.13,0.24,0.23,0.62,0.06,0.22,0.43,0.54,0.52,1.38,0.1,0.06,0.02,0.02,0,2.16,0.1,4.10,0.89,0.01,0.01,0.47,0.01,3.39,1.62,0.2,3.55,0.12,0.04,0.05,0.03
SE16_4,Wet Center,10/30/2025,9:40:00 AM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 4,42.15,544.1,501.95,Yes,Yes,Yes,Yes,Yes,Yes,2328,,,,2/25/2026,0.01,0,0,0.51,0.93,0.12,0.02,0,0.01,0.11,0.3,0.18,0.59,0.06,0.27,0.36,0.48,0.52,1.35,0.05,0.03,0,0.02,0.01,2.08,0.05,4.11,0.78,0.01,0.01,0.5,0.05,3.61,1.67,0.21,3.59,0.06,0.03,0.01,0.03
SE16_5,Wet Center,10/30/2025,11:40:00 AM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 5,42.33,562.2,519.87,Yes,Yes,Yes,Yes,Yes,Yes,2329,,,,2/25/2026,0,0.08,0,0.44,1.11,0.25,0.03,0.01,0,0.07,0.26,0.19,0.54,0.07,0.32,0.42,0.51,0.58,1.6,0.06,0.02,0,0.01,0.01,2.00,0.08,4.45,0.87,0.01,0.02,0.54,0.01,3.49,1.94,0.18,3.89,0.1,0.02,0.02,0.02
SE16_6,Wet Center,10/30/2025,1:40:00 PM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 6,41.67,540.7,499.03,Yes,Yes,Yes,Yes,Yes,Yes,2330,,,,2/25/2026,0,0.14,0,0.54,1.35,0.31,0.03,0.01,0,0.06,0.18,0.22,0.38,0.08,0.2,0.39,0.31,0.6,1.56,0.07,0.01,0,0.02,0,1.99,0.05,4.19,0.74,0.01,0.01,0.44,0.07,3.59,2.05,0.17,3.7,0.13,0.02,0.02,0.03
SE16_7,Wet Center,10/30/2025,3:40:00 PM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 7,41.67,564.3,522.63,Yes,Yes,Yes,Yes,Yes,Yes,2331,,,,2/25/2026,0,0.02,0,0.58,0.09,0.06,0.01,0.01,0.01,0.07,0.16,0.09,0.25,0.09,0.2,0.29,0.24,0.44,1.33,0.05,0.01,0.01,0.03,0.01,1.36,0.04,3.08,0.69,0.01,0.01,0.35,0.01,2.61,1.58,0.4,2.25,0.09,0.01,0.01,0.03
SE16_8,Wet Center,10/30/2025,5:40:00 PM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 8,41.56,539.7,498.14,Yes,Yes,Yes,Yes,Yes,Yes,2332,,,,2/25/2026,0.01,0.1,0,0.53,0.22,0.17,0.02,0,0,0.06,0.19,0.26,0.39,0.09,0.2,0.42,0.3,0.2,0.99,0.08,0.03,0.01,0.05,0.01,1.64,0.07,2.49,0.7,0,0.02,0.58,0.05,3.09,1.59,0.53,2.3,0.11,0.02,0.02,0.07
SE16_9,Wet Center,10/30/2025,7:40:00 PM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 9,41.87,556.4,514.53,Yes,Yes,Yes,Yes,Yes,Yes,2333,,,,3/7/2026,0,0.32,0,0.48,0.27,0.29,0.01,0,0.02,0.17,0.22,0.21,0.36,0.04,0.23,0.49,0.32,0.39,0.49,0.25,0.08,0,0.12,0.01,1.56,0.13,3.55,0.9,0.03,0.01,0.73,0.02,2.92,2.25,0.37,3.13,0.1,0.02,0.03,0.07
SE16_10,Wet Center,10/30/2025,9:40:00 PM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 10,42.09,547,504.91,Yes,Yes,Yes,Yes,Yes,Yes,2334,,,,3/7/2026,0,0.18,0,0.33,0.31,0.38,0.04,0,0,0.12,0.2,0.14,0.32,0.04,0.22,0.3,0.26,2.22,1.39,0.3,0.13,0.03,0.09,0.01,1.17,0.13,2.94,0.68,0.01,0.01,0.67,0.02,2.47,1.87,0.75,2.92,0.13,0.07,0.07,0.13
SE16_11,Wet Center,10/30/2025,11:40:00 PM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 11,41.65,541.7,500.05,Yes,Yes,Yes,Yes,Yes,Yes,2335,,,,3/7/2026,0.01,0.15,0,0.26,0.51,0.19,0.16,0.01,0,0.04,0.13,0.27,0.27,0.03,0.14,0.33,0.19,1,1.59,0.29,0.07,0.02,0.03,0,1.67,0.08,3.63,0.78,0.01,0.05,1.07,0,3.78,2.18,0.34,4.29,0.15,0.04,0.04,0.08
SE16_12,Wet Center,10/31/2025,1:40:00 AM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 12,42.23,545.9,503.67,Yes,Yes,Yes,Yes,Yes,Yes,2336,,,,3/7/2026,0,0.26,0,0.34,0.08,0.41,0.03,0,0.01,0.19,0.18,0.3,0.29,0.06,0.18,0.41,0.27,0.18,1.52,0.33,0.06,0.01,0.03,0.02,1.24,0.14,2.96,0.94,0.02,0.01,0.75,0.04,3.07,2.58,0.55,3.74,0.27,0.04,0.03,0.15
SE16_13,Wet Center,10/31/2025,3:40:00 AM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 13,41.42,536.5,495.08,Yes,Yes,Yes,Yes,Yes,Yes,2337,,,,3/7/2026,0,0.05,0,0.38,0.19,0.17,0.1,0,0,0.1,0.28,0.23,0.46,0.07,0.32,0.33,0.37,3.31,1.45,0.24,0.03,0,0.02,0,1.55,0.04,3.04,0.63,0.01,0.02,0.88,0.02,3.09,2.41,0.3,3.52,0.07,0.03,0.02,0.08
SE16_14,Wet Center,10/31/2025,5:40:00 AM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 14,41.39,549.8,508.41,Yes,Yes,Yes,Yes,Yes,Yes,2338,,,,3/7/2026,0.01,0.11,0,0.23,0.17,0.28,0.09,0,0,0.06,0.16,0.18,0.31,0.05,0.19,0.26,0.23,2.19,0.79,0.28,0.07,0.02,0.03,0.03,1.01,0.1,2.74,0.54,0.01,0.01,0.76,0.02,2.39,1.52,0.35,2.51,0.15,0.05,0.05,0.12
SE16_15,Wet Center,10/31/2025,7:40:00 AM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 15,41.43,553,511.57,Yes,Yes,Yes,Yes,Yes,Yes,2339,,,,3/7/2026,0,0.09,0,0.29,0.11,0.25,0.01,0.01,0,0.09,0.22,0.2,0.36,0.08,0.23,0.34,0.28,2.66,1.33,0.21,0.06,0.01,0.06,0.02,1.26,0.01,2.39,0.67,0.01,0.01,0.68,0.03,2.71,2.02,0.49,2.37,0.11,0.05,0.03,0.08
SE16_16,Wet Center,10/31/2025,9:40:00 AM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 16,41.47,562.1,520.63,Yes,Yes,Yes,Yes,Yes,Yes,2340,,,,3/7/2026,0,0.04,0,0.18,0.15,0.28,0.03,0,0.01,0.07,0.25,0.2,0.35,0.07,0.25,0.32,0.31,2.86,1.14,0.22,0.04,0,0.07,0.01,1.23,0.03,2.06,0.63,0.01,0.01,0.74,0.01,2.80,1.9,0.86,2.94,0.07,0.01,0.05,0.07
SE16_17,Wet Center,10/31/2025,11:40:00 AM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 17,41.44,571.9,530.46,Yes,Yes,Yes,Yes,Yes,Yes,2341,,,,3/7/2026,0,0.03,0,4.06,0.2,0.37,0.02,0,0,0.08,0.25,0.27,0.45,0.05,0.28,0.48,0.42,2.67,1.1,0.12,0.03,0,0.03,0.02,1.12,0.15,2.01,0.73,0.01,0.01,0.68,0.03,2.82,2.02,0.65,2.37,0.09,0.05,0.05,0.08
SE16_18,Wet Center,10/31/2025,1:40:00 PM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 18,42.29,548.3,506.01,Yes,Yes,Yes,Yes,Yes,Yes,2342,,,,3/7/2026,0,0.22,0,0.26,0.07,0.46,0.04,0,0.01,0.09,0.03,0.17,0.05,0.03,0.03,0.34,0.08,2.35,0.91,0.15,0.03,0.01,0.01,0,0.98,0.07,2.03,0.64,0.01,0.01,0.52,0.01,2.73,1.85,0.86,2.03,0.07,0.01,0.02,0.02
SE16_19,Wet Center,10/31/2025,3:40:00 PM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 19,41.45,569.3,527.85,Yes,Yes,Yes,Yes,Yes,Yes,2343,,,,3/7/2026,0,0.13,0,0.17,0.13,0.54,0,0,0,0.11,0.2,0.12,0.33,0.08,0.24,0.41,0.29,0.83,1.03,0.1,0.02,0.05,0.05,0.01,1.1,0.02,2.08,0.65,0.01,0.01,0.53,0.04,2.94,1.69,0.9,2.13,0.06,0.02,0.01,0.04
SE16_20,Wet Center,10/31/2025,5:40:00 PM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 20,41.31,559.4,518.09,Yes,Yes,Yes,Yes,Yes,Yes,2344,,,,3/7/2026,0,0.07,0,0.56,0.09,0.47,0.02,0.01,0,0.11,0.17,0.15,0.27,0.04,0.18,0.31,0.25,0.94,1.06,0.1,0.03,0,0.03,0.01,1.11,0.01,1.98,0.61,0.01,0.01,0.64,0.03,2.86,1.62,0.78,2.1,0.1,0.02,0.04,0.05
SE16_21,Wet Center,10/31/2025,7:40:00 PM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 21,41.68,539.5,497.82,Yes,Yes,Yes,Yes,Yes,Yes,2345,,,,3/7/2026,0,0.15,0,0.77,0.13,0.18,0.04,0,0,0.16,0.19,0.22,0.24,0.05,0.21,0.37,0.26,0.84,1.02,0.09,0.01,0,0.02,0.02,1.17,0,1.86,0.59,0,0.01,0.63,0.05,2.57,1.86,0.94,1.96,0.09,0.04,0.03,0.03
SE16_22,Wet Center,10/31/2025,9:40:00 PM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 22,41.46,548.3,506.84,Yes,Yes,Yes,Yes,Yes,Yes,2346,,,,3/7/2026,0,0.1,0,2.65,0.08,0.24,0.03,0.01,0.01,0.1,0.29,0.21,0.42,0.07,0.27,0.29,0.35,1.55,1.07,0.1,0.03,0,0.01,0,1.34,0.07,2.03,0.77,0.01,0.01,0.53,0.01,2.96,1.7,0.91,2.12,0.11,0.03,0.01,0.04
SE16_23,Wet Center,10/31/2025,11:40:00 PM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 23,41.53,,,Yes,Yes,Yes,Yes,Yes,In Progress. SPE'd on 3/30,2347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE16_24,Wet Center,11/1/2025,1:40:00 AM,"XG, ZW",Stream,Stream Storm,Storm 16: Sample 24,41.48,,,Yes,Yes,Yes,Yes,Yes,In Progress. SPE'd on 3/30,2348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF_1031,Wet Center,10/31/2025,8:49:00 AM,"ZW, TN",Stream,Baseflow,During storm 16.,42.1,,,Yes,Yes,Yes,Yes,Yes,Yes,2349,,,,11/14/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF_UP_1031,Wet Center UP,10/31/2025,9:02:00 AM,"ZW, TN",Stream,Baseflow,Taken straight from the mystery outflow pipe!,41.3,537,495.7,Yes,Yes,Yes,Yes,Yes,Yes,2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center,11/3/2025,6:00 PM,"RV, ZW",Stream,Baseflow,After storm 16,41.19,,-41.19,Yes,Yes,Yes,Yes,Yes,,2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE16_Post,Wet Center,11/4/2025,1:26 PM,"RV, ZW",Stream,Baseflow,"Quick and heavy thunderstorm the night before. ~0.17"" rain",41.34,556.6,515.26,Yes,Yes,Yes,Yes,Yes,Yes,2352,,,,2/15/2026,0.01,0.06,0.06,0.39,0.23,0.67,0.02,0.01,0,0.11,0.38,0.13,0.44,0.04,0.28,0.37,0.4,2.41,1.4,0.1,0.02,0,0.03,0.01,1.75,0.04,3.57,0.85,0.01,0.01,0.53,0.01,3.33,1.78,0.57,3.88,0.19,0.01,0.04,0.01
,Wet Center,11/5/2025,2:20 PM,"RV, XG",Stream,Baseflow,,41.58,,-41.58,Yes,Yes,Yes,Yes,Yes,,2354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center,11/7/2025,8:54:00 AM,"RV, NA",Stream,Baseflow,,41.58,,-41.58,Yes,Yes,Yes,Yes,Yes,,2355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center UP,11/7/2025,8:43:00 AM,"RV, NA",Stream,Baseflow,,41.98,,-41.98,Yes,Yes,Yes,Yes,Yes,,2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center,11/14/2025,8:57:00 AM,RV,Stream,Baseflow,,42.3,,-42.3,Yes,Yes,Yes,Yes,Yes,,2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center UP,11/14/2025,8:40:00 AM,RV,Stream,Baseflow,,42.2,,-42.2,Yes,Yes,Yes,Yes,Yes,,2358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equipment Blank,11/16/2025,1:00 PM,RV,MilliQ,Equipment Blank,EB on Precip Collector #2. ,41.5,555.3,513.8,,Yes,,,,Yes,,,,,11/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center,11/21/2025,6:45:00 AM,RV,Stream,Baseflow,,,,0,Yes,Yes,Yes,Yes,Yes,,2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
